527,738,3110,148,00
604,1031,3985,154,00
702,455,3552,173,00
705,478,3683,176,00
693,443,3568,175,00
699,477,3612,175,00
697,440,3721,179,00
684,438,3639,178,00
695,456,3757,181,00
687,466,3801,188,00
698,498,3808,192,00
701,528,4001,204,00
693,527,4036,219,00
702,558,4092,232,00
696,575,4230,249,00
700,589,3838,262,00
717,651,4302,273,00
702,714,4351,276,00
721,748,4366,278,00
718,775,4529,281,00
724,727,4538,285,00
681,553,1691,163,00
0,385,1808,155,00
0,511,1701,157,00
7,507,1888,159,00
144,455,1787,154,00
89,532,1639,159,00
32,540,1728,154,00
0,551,1749,158,00
26,528,1672,154,00
21,486,1631,156,00
94,553,1631,157,00
30,526,1731,153,00
0,608,1744,156,00
14,512,1708,152,00
54,484,1742,159,00
89,554,1676,155,00
26,481,1664,147,00
6,468,1701,153,00
18,411,1786,152,00
101,376,1866,158,00
99,366,1783,156,00
113,442,1797,150,00
0,401,1872,155,00
55,399,1941,152,00
31,419,1696,5361,327,00
378,1577,5236,324,00
420,1620,4954,317,00
427,1480,4574,318,00
366,1339,3920,289,00
317,844,3553,206,00
231,0,3164,210,00
0,0,2841,195,00
0,53,2773,207,00
0,3,2772,204,00
0,55,2678,197,00
0,107,2724,176,00
25,209,2491,147,00
64,273,2369,127,00
51,444,1994,128,00
51,507,1943,121,00
45,487,2165,129,00
2,643,2251,127,00
42,646,2318,134,00
42,520,2336,125,00
54,671,2426,135,00
36,690,2389,128,00
0,703,2391,133,00
54,705,2427,133,00
96,653,2384,122,00
68,654,2507,128,00
42,709,2445,131,00
0,930,2467,130,00
89,880,2586,133,00
90,952,2502,133,00
51,713,2509,130,00
139,339,2458,120,00
32,61,2864,207,00
81,0,3251,267,00
109,50,3182,292,00
111,115,3269,303,00
388,1330,4035,307,01
344,1331,3876,318,01
350,1315,4148,321,01
359,1447,4042,312,01
356,1484,3836,307,01
400,2736,4391,326,01
338,2724,4181,330,01
364,1779,4049,316,01
311,2836,4328,319,01
360,2842,4235,320,01
342,1367,3646,260,01
360,2814,3339,230,01
289,1393,2855,225,01
356,708,2408,196,01
379,820,2118,168,01
394,1038,1956,138,01
326,1028,1912,129,01
343,965,1913,131,01
262,752,1806,118,01
297,831,1858,124,01
302,646,1939,116,01
340,452,1865,126,01
285,351,1898,115,01
346,290,1822,111,01
303,357,1926,113,01
292,343,1915,119,01
338,334,1875,117,01
327,333,1955,116,01
267,286,1828,118,01
306,410,1860,109,01
375,402,1938,127,01
340,336,1939,125,01
265,365,1880,111,01
324,374,1820,120,01
303,367,1856,116,01
323,318,1920,124,01
346,326,1859,121,01
257,380,1868,125,01
324,352,1833,114,01
304,346,1864,116,01
339,276,1840,119,01
310,208,1813,118,01
306,225,2235,207,01
331,184,2485,232,01
320,271,2603,250,01
321,261,2709,261,01
337,330,2787,258,01
322,347,3048,255,01
341,369,3174,264,01
325,352,3218,271,01
343,318,3518,263,01
346,255,3355,274,01
305,275,3275,260,01
356,263,3495,270,01
331,338,3374,271,01
398,195,3449,273,01
360,226,3407,263,01
301,249,3474,275,01
361,299,3693,266,01
343,269,3455,283,01
402,201,3621,266,01
356,183,3621,279,01
392,288,3593,290,01
303,150,3642,275,01
401,288,3688,282,01
392,255,3564,276,01
350,240,3805,282,01
261,214,3569,282,01
350,216,3653,276,01
348,251,3726,287,01
393,159,3632,281,01
307,184,3842,281,01
289,170,3573,270,01
346,190,3647,274,01
349,281,3830,273,01
386,148,3646,278,01
350,243,3891,279,01
258,222,3835,281,01
393,186,3685,279,01
379,258,3944,282,01
393,135,3750,288,01
14,210,4002,296,02
105,361,3821,298,02
107,367,3846,306,02
151,299,4214,300,02
159,413,3842,299,02
97,295,3994,289,02
109,390,4080,296,02
206,414,3910,305,02
108,341,4291,297,02
133,330,3697,294,02
89,358,3915,299,02
125,430,4166,300,02
107,215,3734,302,02
158,284,3743,285,02
108,296,3300,264,02
74,315,2955,232,02
114,312,2851,233,02
128,282,2665,239,02
126,285,2796,227,02
79,232,2665,244,02
65,281,2687,238,02
126,280,3025,239,02
140,144,2376,243,02
108,263,3125,245,02
90,297,3336,256,02
83,295,3157,267,02
119,195,3348,265,02
88,199,3406,269,02
86,298,3297,260,02
96,237,3628,270,02
162,253,3374,254,02
178,173,3308,232,02
99,175,2910,188,02
86,68,2461,147,02
88,81,2175,135,02
102,78,1851,114,02
134,53,1580,111,02
84,102,1606,103,02
68,13,1558,120,02
110,81,1577,119,02
63,98,1633,114,02
134,76,1733,116,02
98,146,1959,122,02
87,72,2054,129,02
29,126,2079,131,02
133,168,2134,123,02
119,119,2013,125,02
93,214,2053,125,02
94,128,2059,128,02
85,179,1748,123,02
59,207,1729,125,02
53,202,1762,131,02
107,223,1660,126,02
113,120,1681,132,02
76,229,1566,133,02
25,199,1645,130,02
93,147,1578,127,02
119,242,1582,125,02
133,186,1630,130,02
68,246,1576,132,02
41,235,1643,122,02
41,174,1867,126,02
124,291,1876,120,02
132,162,2086,129,02
78,176,2210,130,02
45,3,2420,232,02
99,44,2606,262,02
121,5,2955,291,02
157,48,3289,301,02
53,91,3286,297,02
48,113,2991,280,02
130,129,2934,276,02
146,140,2635,241,02
111,123,2681,221,02
109,156,2738,191,02
43,142,2662,144,02
116,141,2425,133,02
99,182,2354,132,02
145,158,2170,131,02
81,111,1773,127,02
28,86,1751,119,02
